Provider_ID,Name,completed_claims
610,"Kelly, Cummings and Ward",1
619,"Hopkins, Mora and Green",1
625,Whitney-Fields,1
632,"Oliver, Ross and Johnson",1
647,Hayes Inc,1
650,Pugh Group,1
657,Carpenter-Wright,1
664,Caldwell PLC,1
665,Ortega-Webb,1
676,Osborne LLC,1
685,Scott and Sons,1
692,"Rocha, Johnson and Dunlap",1
693,Salazar PLC,1
697,"Rodriguez, Thomas and Foster",1
700,Webster and Sons,1
703,Pierce Group,1
707,"Peterson, Lee and Moore",1
712,Payne Inc,1
722,Young-Luna,1
725,"Nguyen, Chan and Brown",1
730,Arroyo-Henderson,1
760,Frederick LLC,1
761,"Abbott, Brooks and Moreno",1
762,Simmons Group,1
765,Wong-Wilson,1
766,Parker Group,1
778,Blanchard-Parsons,1
779,Maynard LLC,1
783,Cooper LLC,1
784,"Wolfe, Hull and Richardson",1
786,Simmons-Davis,1
794,"Coleman, Williams and Nichols",1
795,Rollins-Mclaughlin,1
802,Williams Inc,1
804,Jackson Ltd,1
810,"Austin, Griffin and Ward",1
811,Hall-Barnett,1
814,"Scott, Lopez and Baldwin",1
831,Figueroa Inc,1
841,Smith Inc,1
844,Gallagher-Brown,1
847,"Pollard, Collins and Watson",1
849,Brown and Sons,1
850,"Cooper, Osborn and Clark",1
858,"Petersen, Morrison and Woods",1
862,Obrien-Carr,1
866,Jones-Patterson,1
885,"Spears, Anderson and Huffman",1
890,"Simpson, Mcguire and Brown",1
901,Galvan Ltd,1
903,"Galloway, Hall and Oconnell",1
904,Smith-Morales,1
911,Alexander PLC,1
920,"Hudson, Spence and Perez",1
923,Rodriguez Inc,1
931,Phillips-Bradley,1
935,Frazier-Sanders,1
948,House-Bates,1
951,"Hodge, Lee and Washington",1
952,"Harris, Mcdonald and Taylor",1
958,Patel Ltd,1
959,Stanley PLC,1
963,Johnson PLC,1
965,Oconnor Ltd,1
970,"Lewis, Preston and Price",1
983,"Munoz, Stone and Wallace",1
985,Frey PLC,1
995,Moore Group,1
998,Novak Group,1
999,Moody Ltd,1
